,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-08 15Hrs,151.0,62.0,210.0,36.0,22.0,13.0,140° SE
2025-04-08 16Hrs,151.0,62.0,210.0,36.0,22.0,13.0,140° SE
2025-04-08 17Hrs,128.0,48.0,153.0,38.0,17.0,9.0,313° NW
2025-04-08 18Hrs,128.0,48.0,153.0,38.0,17.0,9.0,313° NW
2025-04-08 19Hrs,128.0,48.0,153.0,38.0,17.0,9.0,313° NW
2025-04-08 20Hrs,154.0,58.0,196.0,35.0,27.0,12.0,59° ENE
2025-04-08 21Hrs,154.0,58.0,196.0,35.0,27.0,12.0,59° ENE
2025-04-08 22Hrs,154.0,58.0,196.0,35.0,27.0,12.0,59° ENE
2025-04-08 23Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 00Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 01Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 02Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 03Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 04Hrs,168.0,79.0,278.0,31.0,43.0,10.0,105° ESE
2025-04-09 07Hrs,163.0,73.0,232.0,28.0,51.0,11.0,140° SE
2025-04-09 08Hrs,163.0,73.0,232.0,28.0,51.0,11.0,140° SE
2025-04-09 09Hrs,174.0,87.0,257.0,31.0,38.0,13.0,162° SSE
2025-04-09 10Hrs,175.0,90.0,242.0,33.0,34.0,13.0,169° S
2025-04-09 11Hrs,175.0,90.0,242.0,33.0,34.0,13.0,169° S
2025-04-09 12Hrs,175.0,90.0,242.0,33.0,34.0,13.0,169° S
2025-04-09 13Hrs,175.0,90.0,242.0,33.0,34.0,13.0,169° S
2025-04-09 14Hrs,175.0,90.0,242.0,33.0,34.0,13.0,169° S
2025-04-09 15Hrs,133.0,50.0,152.0,39.0,21.0,12.0,295° WNW
2025-04-09 16Hrs,133.0,50.0,152.0,39.0,21.0,12.0,295° WNW
2025-04-09 18Hrs,133.0,50.0,152.0,39.0,21.0,12.0,295° WNW
2025-04-09 19Hrs,114.0,39.0,157.0,40.0,19.0,4.0,194° SSW
2025-04-09 20Hrs,114.0,39.0,157.0,40.0,19.0,4.0,194° SSW
2025-04-09 21Hrs,178.0,86.0,296.0,35.0,30.0,8.0,40° NE
2025-04-09 22Hrs,178.0,86.0,296.0,35.0,30.0,8.0,40° NE
2025-04-09 23Hrs,178.0,86.0,296.0,35.0,30.0,8.0,40° NE
2025-04-10 00Hrs,178.0,86.0,296.0,35.0,30.0,8.0,40° NE
2025-04-10 01Hrs,158.0,66.0,236.0,31.0,41.0,7.0,144° SE
2025-04-10 02Hrs,158.0,66.0,236.0,31.0,41.0,7.0,144° SE
2025-04-10 03Hrs,158.0,66.0,236.0,31.0,41.0,7.0,144° SE
2025-04-10 04Hrs,158.0,66.0,236.0,31.0,41.0,7.0,144° SE
2025-04-10 07Hrs,148.0,63.0,227.0,28.0,40.0,11.0,48° NE
2025-04-10 08Hrs,148.0,63.0,227.0,28.0,40.0,11.0,48° NE
2025-04-10 09Hrs,148.0,63.0,227.0,28.0,40.0,11.0,48° NE
